gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
5530401A14Rik	-0.329227929804023	3.76799677941839	2.33449056126576	0.126536380784104	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Paip1	-0.233913004061067	5.30122799274677	2.33425098748757	0.126555850618462	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ywhag	-0.183928218882145	7.37516696725728	2.33393211075609	0.126581770464267	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm14296	-0.168532236977182	5.98427590321548	2.33389700670219	0.126584624252579	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Olfml1	0.70705673692484	0.284509461308841	2.33377005865101	0.126594945107043	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Zmym4	-0.170978699769632	7.74490417604349	2.33355064376335	0.126612785705878	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Arnt	0.198180851427636	6.758950918929	2.33067801778767	0.126846616727792	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Eef1d	-0.206868047818032	5.18691378280819	2.33034624658512	0.126873653745807	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Fat1	-0.252873700478198	5.38060374858919	2.33027678136618	0.126879315483808	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Epha4	0.211050783094376	5.55556603689208	2.33012043744039	0.126892059268068	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Idh2	0.205075372383812	4.77877900148761	2.33010976546243	0.12689292920593	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ankrd11	-0.239283811438423	7.81182516481768	2.330090215418	0.12689452286622	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Fam129a	0.268583547864781	4.04162296456457	2.3298239245674	0.126916232305311	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm15721	-0.956804772395303	-0.62950657497799	2.32917384129134	0.126969247890011	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm16796	-0.569372280142924	0.736334921407965	2.3289864450079	0.126984535003729	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Furin	-0.435656741413766	4.433851095543	2.32897592201729	0.126985393492108	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Slc25a47	0.325888157294025	2.73529535224499	2.32894744366979	0.126987716849793	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Kcnh2	-0.36941134079045	4.43556761582026	2.32887419810016	0.126993692682599	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Trub2	0.2004413661753	4.20372384383861	2.3285692362122	0.127018576748451	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Kansl1	-0.145300433523158	8.36906182318842	2.32832170570279	0.127038778557253	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Adcy6	-0.24002264909729	4.15453409043513	2.3281309969156	0.127054345389374	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gas2l2	1.44342017011109	-1.40329899644197	2.3278500469119	0.127077282134363	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ankrd42	-0.242888844469568	5.94654107793463	2.32719884994111	0.127130463539037	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Clk1	0.187452012915131	7.11028331401095	2.3265393070313	0.127184351773109	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Mcl1	-0.403402090791867	4.64568010566475	2.32622006637162	0.127210444594267	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cdcp1	1.31339291824541	-1.26895992302512	2.32599175623015	0.127229108951847	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Akr1c18	0.782133992681318	1.52431229137452	2.32474917980117	0.127330743026184	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tmem30c	0.558772509609438	0.984233296721437	2.32462275259663	0.127341088950824	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Dnal4	-0.277218463643073	3.25789872951434	2.32382441041313	0.127406441338692	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
