gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Dync1i1	0.073506595	8.683748049	0.863578577	0.352739186	0.745789242	pseudobulk	edgeR	LRT
Cyb5r4	-0.097436093	6.36457154	0.863426367	0.35278162	0.745789242	pseudobulk	edgeR	LRT
Pafah1b2	0.106776768	5.690351554	0.863368987	0.352797619	0.745789242	pseudobulk	edgeR	LRT
Cyth3	0.104686026	6.9586273	0.863038344	0.352889827	0.745789242	pseudobulk	edgeR	LRT
Nars	-0.085789648	6.560208432	0.862564646	0.353021988	0.745789242	pseudobulk	edgeR	LRT
Spock1	0.055707574	9.281553158	0.86138608	0.353351097	0.745885735	pseudobulk	edgeR	LRT
Mrfap1	-0.117370144	5.485702542	0.8601038	0.353709645	0.745885735	pseudobulk	edgeR	LRT
Ddx55	0.102566973	6.121991157	0.859988054	0.353742035	0.745885735	pseudobulk	edgeR	LRT
Zeb1	-0.080224621	7.640245178	0.859857586	0.353778548	0.745885735	pseudobulk	edgeR	LRT
Pde4b	-0.219252904	6.70879129	0.859510903	0.353875598	0.745885735	pseudobulk	edgeR	LRT
Ptprg	-0.077989806	9.412919033	0.858761468	0.354085518	0.745987563	pseudobulk	edgeR	LRT
Scn1a	0.052484947	9.470347984	0.85747832	0.354445329	0.746012799	pseudobulk	edgeR	LRT
Tnik	-0.053598333	9.15555885	0.856874362	0.35461486	0.746012799	pseudobulk	edgeR	LRT
Abhd2	0.087882789	6.609928169	0.856291076	0.354778693	0.746012799	pseudobulk	edgeR	LRT
Depdc5	0.063583352	7.643755013	0.855650815	0.354958649	0.746012799	pseudobulk	edgeR	LRT
Atg5	0.117198151	6.048377438	0.85553868	0.354990179	0.746012799	pseudobulk	edgeR	LRT
Dock11	-0.091324402	6.950552652	0.855264877	0.355067184	0.746012799	pseudobulk	edgeR	LRT
Myo9a	-0.061595919	8.550040171	0.854676995	0.355232597	0.746020777	pseudobulk	edgeR	LRT
Ppme1	0.095931542	6.692774391	0.853959845	0.355434525	0.746105397	pseudobulk	edgeR	LRT
Ppig	-0.070673453	6.885185772	0.852061679	0.355969752	0.746889262	pseudobulk	edgeR	LRT
Cpeb2	0.086345336	7.000876762	0.851309077	0.35618227	0.746995619	pseudobulk	edgeR	LRT
Cpe	-0.062740377	8.256517772	0.849802875	0.35660811	0.747384767	pseudobulk	edgeR	LRT
Kdm4c	-0.058574309	7.902391558	0.849507692	0.356691647	0.747384767	pseudobulk	edgeR	LRT
Bicral	-0.10286305	6.825480516	0.846924246	0.357423912	0.748124941	pseudobulk	edgeR	LRT
Emc2	0.087937214	6.735606009	0.845736204	0.35776135	0.748124941	pseudobulk	edgeR	LRT
Grm3	-0.14141642	6.927588897	0.845648315	0.35778633	0.748124941	pseudobulk	edgeR	LRT
Vps53	0.116353479	6.086919288	0.845358538	0.35786871	0.748124941	pseudobulk	edgeR	LRT
Adam10	-0.07991956	6.805308198	0.845128579	0.357934102	0.748124941	pseudobulk	edgeR	LRT
Atxn10	-0.071437505	7.749433833	0.844835984	0.35801733	0.748124941	pseudobulk	edgeR	LRT
Ccdc88a	-0.060217085	8.732132743	0.842838172	0.358586312	0.748159552	pseudobulk	edgeR	LRT
Bcas3	0.075825957	8.360358754	0.842792318	0.358599386	0.748159552	pseudobulk	edgeR	LRT
Pnpt1	-0.111509352	6.447095888	0.842631877	0.358645136	0.748159552	pseudobulk	edgeR	LRT
Napa	-0.105702727	6.119862302	0.842501877	0.358682212	0.748159552	pseudobulk	edgeR	LRT
Erbb4	-0.059723831	13.52898399	0.839726037	0.359475136	0.748525559	pseudobulk	edgeR	LRT
Mlxip	-0.102222691	5.826609138	0.839582633	0.359516165	0.748525559	pseudobulk	edgeR	LRT
Asic2	-0.085441787	10.57342329	0.839125588	0.359646973	0.748525559	pseudobulk	edgeR	LRT
Glrb	0.067993706	7.46806806	0.83870065	0.35976865	0.748525559	pseudobulk	edgeR	LRT
Yes1	-0.084004462	6.566816276	0.838674902	0.359776025	0.748525559	pseudobulk	edgeR	LRT
Med15	0.084534476	6.432382754	0.838484251	0.359830636	0.748525559	pseudobulk	edgeR	LRT
Supt5	-0.099303675	5.863213132	0.837095272	0.360228848	0.748977505	pseudobulk	edgeR	LRT
Gabrd	0.123637784	6.663637905	0.836595045	0.360372409	0.748977505	pseudobulk	edgeR	LRT
Npdc1	-0.143700122	6.560833282	0.833684317	0.361209329	0.750379057	pseudobulk	edgeR	LRT
Reps1	-0.083660587	6.355865875	0.831417542	0.361862952	0.750496327	pseudobulk	edgeR	LRT
Ndufaf2	0.08155294	6.861272174	0.831204546	0.361924453	0.750496327	pseudobulk	edgeR	LRT
2900097C17Rik	-0.105811884	5.712329785	0.831106745	0.361952697	0.750496327	pseudobulk	edgeR	LRT
Nrg1	-0.156035503	9.640382063	0.830764851	0.362051458	0.750496327	pseudobulk	edgeR	LRT
Sort1	0.085399151	6.775183054	0.830419053	0.362151383	0.750496327	pseudobulk	edgeR	LRT
Dab1	0.060894513	10.97598479	0.829962451	0.362283387	0.750496327	pseudobulk	edgeR	LRT
Ptprj	-0.078741159	7.285928062	0.829545863	0.36240388	0.750496327	pseudobulk	edgeR	LRT
