gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Ap3m1	-0.02115937	5.566857641	0.227786816	0.633169749	0.856967957	pseudobulk	edgeR	LRT
Ccdc85a	-0.018188756	8.267142782	0.227389953	0.633465929	0.857033438	pseudobulk	edgeR	LRT
Ttc5	0.023973381	5.106979285	0.227044713	0.63372384	0.857194694	pseudobulk	edgeR	LRT
Mrtfa	0.016551233	7.211839272	0.226614853	0.634045304	0.857425585	pseudobulk	edgeR	LRT
Mta1	0.027713087	4.580933861	0.226169338	0.634378869	0.85779347	pseudobulk	edgeR	LRT
Gtf2h5	0.026777327	4.694418506	0.225934764	0.634554662	0.857937881	pseudobulk	edgeR	LRT
Rap1a	0.021059914	5.719855962	0.224605426	0.635552999	0.85876813	pseudobulk	edgeR	LRT
Kif13b	-0.018270438	6.17469612	0.224028553	0.635987359	0.85902661	pseudobulk	edgeR	LRT
Mob4	0.022255554	5.339796218	0.223975027	0.636027697	0.85902661	pseudobulk	edgeR	LRT
Zyg11b	-0.018620167	6.24814716	0.223100118	0.636687869	0.859392977	pseudobulk	edgeR	LRT
Trip4	0.025565855	4.941468655	0.222412518	0.637207817	0.85980932	pseudobulk	edgeR	LRT
Clip2	-0.02068241	5.725743474	0.220577296	0.6386004	0.861038171	pseudobulk	edgeR	LRT
Dagla	0.019265954	6.088661128	0.220561096	0.638612723	0.861038171	pseudobulk	edgeR	LRT
Ssx2ip	0.022536143	5.372312012	0.220449958	0.638697287	0.861092078	pseudobulk	edgeR	LRT
Esf1	0.026673052	4.892413448	0.220257871	0.638843504	0.861158925	pseudobulk	edgeR	LRT
Rab11fip4	0.015831034	6.573566601	0.218367957	0.640286277	0.862388894	pseudobulk	edgeR	LRT
2900026A02Rik	0.020246594	5.69842884	0.21774425	0.640764088	0.862750029	pseudobulk	edgeR	LRT
Lhfpl4	0.026563102	4.888148234	0.21749708	0.640953671	0.862752873	pseudobulk	edgeR	LRT
Micu3	0.014465465	7.123100124	0.217249448	0.64114374	0.862752873	pseudobulk	edgeR	LRT
Cacna1i	0.021544667	5.675108505	0.217212716	0.641171946	0.862752873	pseudobulk	edgeR	LRT
Fam189a1	-0.011910747	8.798253465	0.216721775	0.641549194	0.862993876	pseudobulk	edgeR	LRT
Cplx2	0.020874437	5.535922406	0.215894941	0.642185728	0.863516774	pseudobulk	edgeR	LRT
Mettl16	0.023734707	5.153315463	0.214221581	0.643478503	0.864559649	pseudobulk	edgeR	LRT
Sil1	0.021486248	5.693497432	0.213819831	0.643789793	0.864764608	pseudobulk	edgeR	LRT
Ogdhl	0.02805478	4.649828876	0.213723439	0.643864533	0.864768828	pseudobulk	edgeR	LRT
Gm41361	-0.023139504	5.582856505	0.212585266	0.644748602	0.865722112	pseudobulk	edgeR	LRT
Usp46	-0.018605153	6.115066333	0.210665011	0.646246674	0.867065394	pseudobulk	edgeR	LRT
Helq	-0.021314466	5.339292804	0.209701848	0.647001193	0.867743614	pseudobulk	edgeR	LRT
Marchf5	-0.024773718	4.847140042	0.209594477	0.647085434	0.86780888	pseudobulk	edgeR	LRT
Vamp2	-0.016241983	6.655762568	0.20874426	0.647753426	0.868322794	pseudobulk	edgeR	LRT
Slc30a7	-0.023885859	5.145363419	0.208031347	0.648314809	0.868932075	pseudobulk	edgeR	LRT
Ppme1	-0.016910305	7.014270436	0.207719555	0.648560695	0.869022878	pseudobulk	edgeR	LRT
Tmem38a	0.019419865	5.904483867	0.20740095	0.648812184	0.869216609	pseudobulk	edgeR	LRT
Itsn1	0.015789195	6.71690032	0.206162619	0.649791876	0.869812503	pseudobulk	edgeR	LRT
Nup155	0.028071858	4.579093507	0.205507225	0.65031182	0.870181994	pseudobulk	edgeR	LRT
Slc25a3	-0.015553978	6.895463806	0.204825259	0.650853907	0.870517546	pseudobulk	edgeR	LRT
Ablim2	0.012711303	7.558731585	0.204713153	0.650943122	0.870589134	pseudobulk	edgeR	LRT
Dnajc3	-0.027568479	4.512603394	0.204532406	0.651087026	0.870686114	pseudobulk	edgeR	LRT
Gm21992	0.015241801	6.641102172	0.203749346	0.651711351	0.871091199	pseudobulk	edgeR	LRT
Ryk	0.019554206	5.700615264	0.203609545	0.651822966	0.871187423	pseudobulk	edgeR	LRT
Slc48a1	0.024848717	4.927481058	0.203569714	0.651854774	0.871187423	pseudobulk	edgeR	LRT
Nxf1	0.023270343	5.059672694	0.203315706	0.65205771	0.871270508	pseudobulk	edgeR	LRT
Dusp8	0.025873043	4.634162114	0.203084856	0.652242277	0.871371104	pseudobulk	edgeR	LRT
Numbl	0.022327185	5.098024408	0.201521854	0.653495243	0.872296375	pseudobulk	edgeR	LRT
Pcsk7	-0.02039041	5.740165161	0.201356157	0.653628415	0.872315519	pseudobulk	edgeR	LRT
Dld	0.027233177	4.545800881	0.200834293	0.65404827	0.872625188	pseudobulk	edgeR	LRT
Gle1	-0.025973517	4.683712984	0.200059876	0.65467252	0.873066981	pseudobulk	edgeR	LRT
Gdi2	0.019164297	5.785635109	0.199910697	0.654792938	0.873104978	pseudobulk	edgeR	LRT
Cops7a	0.026012319	4.753562585	0.199630254	0.65501946	0.873243231	pseudobulk	edgeR	LRT
