gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Brf1	0.019170387	4.794607041	0.093984675	0.7591713	0.926453415	pseudobulk	edgeR	LRT
Slc37a3	-0.016248147	5.261967959	0.093714375	0.759507162	0.926585058	pseudobulk	edgeR	LRT
Aebp2	-0.016559781	5.234689895	0.092744706	0.760716406	0.927457105	pseudobulk	edgeR	LRT
Psmd6	0.01978563	4.900455276	0.092595561	0.760903011	0.927547447	pseudobulk	edgeR	LRT
Slk	-0.014703467	5.803554599	0.092594277	0.760904619	0.927547447	pseudobulk	edgeR	LRT
Ube2d3	0.014538353	6.293331234	0.092534483	0.760979477	0.927568507	pseudobulk	edgeR	LRT
Pcmtd1	0.012474332	6.659939043	0.091911718	0.761760726	0.928173452	pseudobulk	edgeR	LRT
Gatb	0.019677775	4.585991931	0.091820071	0.76187594	0.928267452	pseudobulk	edgeR	LRT
Ryk	0.015118432	5.665151217	0.091327019	0.762496856	0.928652774	pseudobulk	edgeR	LRT
Azin1	0.014734697	5.892245633	0.091207032	0.762648237	0.928744369	pseudobulk	edgeR	LRT
Pdk1	0.016680859	5.532273392	0.091080367	0.762808159	0.928854116	pseudobulk	edgeR	LRT
Ube2f	-0.017008043	5.225942669	0.091075316	0.762814539	0.928854116	pseudobulk	edgeR	LRT
Mmp24	0.01971274	4.819680715	0.090557686	0.763469368	0.92932847	pseudobulk	edgeR	LRT
3110021N24Rik	-0.020551174	4.581540013	0.090327995	0.763760591	0.929634722	pseudobulk	edgeR	LRT
Senp2	-0.013376233	5.955874001	0.090096842	0.764054078	0.929848253	pseudobulk	edgeR	LRT
Capza1	-0.014468615	5.625167343	0.089801198	0.764430044	0.929985363	pseudobulk	edgeR	LRT
Atg4c	-0.012823468	6.201136316	0.089570959	0.764723303	0.930110117	pseudobulk	edgeR	LRT
Elk1	0.020841085	4.683395796	0.088895029	0.765586625	0.930556767	pseudobulk	edgeR	LRT
Aasdhppt	-0.019062251	4.684946698	0.088594304	0.765971871	0.930932221	pseudobulk	edgeR	LRT
Nf2	-0.015087857	5.415373126	0.088300403	0.766349063	0.931158598	pseudobulk	edgeR	LRT
Mrpl3	0.01462771	5.670122974	0.087981093	0.76675964	0.931239856	pseudobulk	edgeR	LRT
Mtpap	0.014918656	5.605875077	0.087838772	0.766942902	0.931302101	pseudobulk	edgeR	LRT
Atp1b3	0.0129152	6.050594323	0.087542164	0.767325352	0.931368001	pseudobulk	edgeR	LRT
Ints9	-0.020231966	4.546602309	0.087455164	0.767437664	0.931413869	pseudobulk	edgeR	LRT
Kndc1	-0.013863696	5.771307792	0.087326594	0.767603753	0.93156908	pseudobulk	edgeR	LRT
Aggf1	0.018724015	4.683496484	0.086993539	0.768034618	0.931885239	pseudobulk	edgeR	LRT
Tmcc1	-0.008191273	8.075585027	0.086728045	0.768378724	0.932079996	pseudobulk	edgeR	LRT
Lypd1	-0.01939222	5.582708594	0.086504709	0.768668631	0.932211895	pseudobulk	edgeR	LRT
Rsrc1	0.009847341	7.230034895	0.08605182	0.769257769	0.932555342	pseudobulk	edgeR	LRT
Camsap1	0.013772583	5.911690833	0.084851686	0.770827143	0.933436951	pseudobulk	edgeR	LRT
Zfyve28	-0.009547536	7.279558221	0.084808109	0.770884354	0.933459875	pseudobulk	edgeR	LRT
Trmt6	-0.019085597	4.784003931	0.084614857	0.771138256	0.93362824	pseudobulk	edgeR	LRT
Dok6	-0.00775187	9.620930636	0.084019505	0.77192244	0.933635492	pseudobulk	edgeR	LRT
