gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Pakap	-0.009189545	7.098366996	0.01969953	0.888379501	1	pseudobulk	edgeR	LRT
Rasa2	0.010021273	6.231461492	0.019663311	0.888481487	1	pseudobulk	edgeR	LRT
Sncaip	-0.014495002	5.700038491	0.019596436	0.888670049	1	pseudobulk	edgeR	LRT
Nlk	-0.007795631	7.780223323	0.01957262	0.888737279	1	pseudobulk	edgeR	LRT
Adamts20	-0.013301791	5.104982524	0.019556983	0.888781443	1	pseudobulk	edgeR	LRT
Slc25a5	0.014106193	5.11026749	0.019532728	0.888849986	1	pseudobulk	edgeR	LRT
Mthfsd	-0.015912971	4.71069574	0.019436551	0.889122194	1	pseudobulk	edgeR	LRT
Gm36975	-0.015668169	4.740850204	0.019433929	0.889129625	1	pseudobulk	edgeR	LRT
Apc2	-0.011941962	5.418938679	0.019380713	0.88928055	1	pseudobulk	edgeR	LRT
Naca	0.013985823	4.901555924	0.019377872	0.889288611	1	pseudobulk	edgeR	LRT
Tnpo1	0.009738028	6.447504273	0.019366631	0.889320521	1	pseudobulk	edgeR	LRT
Tgfbrap1	-0.01392316	5.090302187	0.019326346	0.889434955	1	pseudobulk	edgeR	LRT
Lgi2	-0.010727689	5.967825809	0.019180422	0.889850485	1	pseudobulk	edgeR	LRT
Rexo4	0.015840151	4.748136313	0.019116235	0.890033773	1	pseudobulk	edgeR	LRT
Fam193a	-0.007881714	7.472320218	0.01906107	0.890191549	1	pseudobulk	edgeR	LRT
Adap1	0.010586838	5.765900767	0.018980781	0.890421598	1	pseudobulk	edgeR	LRT
Akap9	0.008001572	7.538642271	0.018954944	0.890495734	1	pseudobulk	edgeR	LRT
Timm17a	-0.016231562	4.804610061	0.018819108	0.890886342	1	pseudobulk	edgeR	LRT
Sirt3	-0.012790263	5.191598209	0.018814398	0.890899911	1	pseudobulk	edgeR	LRT
Acly	0.015711423	4.6065674	0.01878211	0.890992982	1	pseudobulk	edgeR	LRT
Timm44	-0.012407856	5.448298264	0.018773127	0.891018889	1	pseudobulk	edgeR	LRT
Arl5b	0.01647381	4.912031382	0.018613853	0.891479308	1	pseudobulk	edgeR	LRT
Chic1	0.011089697	6.021393816	0.01838981	0.892130363	1	pseudobulk	edgeR	LRT
Vps33a	-0.011508415	5.482110157	0.018367063	0.89219669	1	pseudobulk	edgeR	LRT
Dusp1	-0.015936712	4.607180397	0.018347779	0.892252953	1	pseudobulk	edgeR	LRT
Cdh4	-0.011764432	6.825936282	0.018318834	0.892337456	1	pseudobulk	edgeR	LRT
Gm9801	-0.009503333	7.162342923	0.018069285	0.893068854	1	pseudobulk	edgeR	LRT
Stam	-0.009613554	6.163221975	0.017977157	0.893340167	1	pseudobulk	edgeR	LRT
Traf3	0.010920668	6.722188439	0.017928323	0.89348427	1	pseudobulk	edgeR	LRT
Nom1	0.013328918	5.007245849	0.01791513	0.893523234	1	pseudobulk	edgeR	LRT
Map3k7	0.009582748	6.256003657	0.01789402	0.893585611	1	pseudobulk	edgeR	LRT
Ilkap	-0.011035334	5.514138578	0.017824743	0.89379058	1	pseudobulk	edgeR	LRT
Rbbp5	-0.013788718	4.90357571	0.017545597	0.894620624	1	pseudobulk	edgeR	LRT
Gm28905	0.022720678	5.647650247	0.017509698	0.894727854	1	pseudobulk	edgeR	LRT
Bckdhb	0.00809687	7.601702419	0.017434369	0.894953231	1	pseudobulk	edgeR	LRT
Tsc22d2	-0.009337613	6.750679794	0.017338882	0.89523963	1	pseudobulk	edgeR	LRT
Grk6	-0.014541827	4.623445645	0.017092432	0.895982549	1	pseudobulk	edgeR	LRT
Ift140	0.012184559	5.22808191	0.017073397	0.896040156	1	pseudobulk	edgeR	LRT
Tmem127	0.014796037	5.002049004	0.016844338	0.896735946	1	pseudobulk	edgeR	LRT
Apbb2	-0.007667578	7.370373685	0.0168341	0.896767156	1	pseudobulk	edgeR	LRT
Phlpp2	0.010021497	5.989798231	0.016796028	0.896883308	1	pseudobulk	edgeR	LRT
Tecpr1	0.0128806	5.118741296	0.016792426	0.896894303	1	pseudobulk	edgeR	LRT
Rnf41	0.012975024	5.290624523	0.01673468	0.897070745	1	pseudobulk	edgeR	LRT
Dhx35	-0.011755201	5.385429772	0.016489189	0.89782433	1	pseudobulk	edgeR	LRT
Brwd1	-0.008041101	7.044983219	0.016443874	0.897964054	1	pseudobulk	edgeR	LRT
Eid1	0.014673609	4.731784813	0.016427251	0.89801536	1	pseudobulk	edgeR	LRT
Kcnt1	-0.009547839	6.02189693	0.016420759	0.898035404	1	pseudobulk	edgeR	LRT
Tiam1	0.008768322	7.831928341	0.016234336	0.89861271	1	pseudobulk	edgeR	LRT
Ambra1	0.007038019	7.639671371	0.016207755	0.898695299	1	pseudobulk	edgeR	LRT
Sesn1	0.008561932	6.604451789	0.016203355	0.898708975	1	pseudobulk	edgeR	LRT
Tent2	0.008362958	6.615205125	0.016073988	0.899111966	1	pseudobulk	edgeR	LRT
Chd9	-0.007449247	8.168974654	0.016063983	0.899143202	1	pseudobulk	edgeR	LRT
Ldah	-0.009989515	6.10532998	0.016061296	0.899151592	1	pseudobulk	edgeR	LRT
Actn2	-0.014795257	4.730935924	0.015998891	0.899346658	1	pseudobulk	edgeR	LRT
Rab1a	-0.01144337	5.182197394	0.015992639	0.899366222	1	pseudobulk	edgeR	LRT
Gabra4	-0.0088363	7.383609366	0.015957764	0.899475424	1	pseudobulk	edgeR	LRT
Paqr3	-0.013376589	4.838744622	0.015841791	0.899839439	1	pseudobulk	edgeR	LRT
Itpr1	-0.007537307	7.741797527	0.01579687	0.899980803	1	pseudobulk	edgeR	LRT
Trmt9b	0.012866163	5.076240637	0.015716142	0.900235357	1	pseudobulk	edgeR	LRT
Clpx	-0.01168093	5.539599326	0.01570314	0.900276419	1	pseudobulk	edgeR	LRT
Ptgr2	-0.014542151	4.505891035	0.015603762	0.900590827	1	pseudobulk	edgeR	LRT
Nup88	-0.011372995	5.230674169	0.015545553	0.900775461	1	pseudobulk	edgeR	LRT
Limch1	-0.006618987	9.174289788	0.015545534	0.90077552	1	pseudobulk	edgeR	LRT
Atp13a2	0.009603879	6.090095663	0.015468354	0.901020869	1	pseudobulk	edgeR	LRT
Inpp4a	0.008093793	6.799343254	0.015435833	0.90112444	1	pseudobulk	edgeR	LRT
Tafa2	-0.011617085	9.708572764	0.015412047	0.901200259	1	pseudobulk	edgeR	LRT
N4bp1	-0.009864231	5.713608388	0.015380395	0.901301244	1	pseudobulk	edgeR	LRT
Suz12	-0.010800788	5.477187279	0.015374757	0.901319244	1	pseudobulk	edgeR	LRT
Eef1g	-0.014816694	4.515462724	0.015353581	0.901386876	1	pseudobulk	edgeR	LRT
Ssbp3	0.012868739	5.429405554	0.015300318	0.901557203	1	pseudobulk	edgeR	LRT
Vps37a	-0.009501167	6.349491176	0.015270561	0.90165249	1	pseudobulk	edgeR	LRT
Fnta	-0.011177948	5.419273449	0.015213681	0.901834896	1	pseudobulk	edgeR	LRT
Zmym5	-0.012687901	4.818411314	0.014979343	0.902590056	1	pseudobulk	edgeR	LRT
Marchf8	0.011430211	6.359600884	0.014950063	0.902684833	1	pseudobulk	edgeR	LRT
Mtss2	-0.008496256	6.384639349	0.014897905	0.902853896	1	pseudobulk	edgeR	LRT
Wac	0.007971334	7.183446048	0.014812553	0.903131203	1	pseudobulk	edgeR	LRT
Rnf227	0.013532056	4.757959044	0.014637778	0.903701581	1	pseudobulk	edgeR	LRT
